"Title","Country","Longitude","Latitude"
"Cheaper by the Dozen 2","Canada",-113.64258,60.10867
"Rumor Has It...","Germany",10.5,51.5
"Rumor Has It...","Australia",135,-25
"Munich","France",2,46
"Munich","Canada",-113.64258,60.10867
"BloodRayne","Germany",10.5,51.5
"Brokeback Mountain","Canada",-113.64258,60.10867
"Match Point","UK",-2.69531,54.75844
"Match Point","Russia",100,60
"Match Point","Ireland",-8,53
"Match Point","Luxembourg",6.16667,49.75
"The New World","UK",-2.69531,54.75844
"Nanny McPhee","UK",-2.69531,54.75844
"Nanny McPhee","France",2,46
"The Matador","Germany",10.5,51.5
"The Matador","Ireland",-8,53
"Capote","Canada",-113.64258,60.10867
"Mrs Henderson Presents","UK",-2.69531,54.75844
"The Three Burials of Melquiades Estrada","France",2,46
"Mirrormask","UK",-2.69531,54.75844
"V for Vendetta","UK",-2.69531,54.75844
"V for Vendetta","Germany",10.5,51.5
"The World's Fastest Indian","New Zealand",174,-42
"The World's Fastest Indian","Switzerland",8.01427,47.00016
"The World's Fastest Indian","Japan",139.75309,35.68536
"The White Countess","UK",-2.69531,54.75844
"The White Countess","Germany",10.5,51.5
"The White Countess","China",105,35
"La mujer de mi hermano","Argentina",-64,-34
"La mujer de mi hermano","Mexico",-102,23
"La mujer de mi hermano","Peru",-76,-10
"The Promise","China",105,35
"The Promise","South Korea",127.5,37
"An American Haunting","UK",-2.69531,54.75844
"An American Haunting","Canada",-113.64258,60.10867
"An American Haunting","Romania",25,46
"Goal! The Dream Begins","UK",-2.69531,54.75844
"Kinky Boots","UK",-2.69531,54.75844
"Lassie","France",2,46
